Financ,Procedim,Descrição,Fisico,Medio/Unit,Orçamentario,% Incremento,Valor Increm,Total Orçado,Apuração,Competência,Num_CNES,Nome_estabelecimento
MAC,020201053,DOSAGEM DE LACTATO,100,"3,68","368,00","0,00","0,00","368,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201055,DOSAGEM DE LIPASE,200,"2,25","450,00","0,00","0,00","450,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201056,DOSAGEM DE MAGNESIO,200,"2,01","402,00","0,00","0,00","402,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201060,DOSAGEM DE POTASSIO,500,"1,85","925,00","0,00","0,00","925,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201061,DOSAGEM DE PROTEINAS TOTAIS,80,"1,40","112,00","0,00","0,00","112,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201062,DOSAGEM DE PROTEINAS TOTAIS E FRACOES,80,"1,85","148,00","0,00","0,00","148,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201063,DOSAGEM DE SODIO,500,"1,85","925,00","0,00","0,00","925,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201064,DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO),600,"2,01","1.206,00","0,00","0,00","1.206,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201065,DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP),600,"2,01","1.206,00","0,00","0,00","1.206,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201067,DOSAGEM DE TRIGLICERIDEOS,100,"3,51","351,00","0,00","0,00","351,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201069,DOSAGEM DE UREIA,800,"1,85","1.480,00","0,00","0,00","1.480,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020201073,GASOMETRIA (PH PCO2 PO2 BICARBONATO AS2 (EXCESSO OU DEFIC,380,"15,65","5.947,00","0,00","0,00","5.947,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020202002,CONTAGEM DE PLAQUETAS,100,"2,73","273,00","0,00","0,00","273,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020202003,CONTAGEM DE RETICULOCITOS,50,"2,73","136,50","0,00","0,00","136,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020202007,DETERMINACAO DE TEMPO DE COAGULACAO,100,"2,73","273,00","0,00","0,00","273,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020202009,DETERMINACAO DE TEMPO DE SANGRAMENTO -DUKE,50,"2,73","136,50","0,00","0,00","136,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020202012,DETERMINACAO DE TEMPO DE TROMBINA,100,"2,85","285,00","0,00","0,00","285,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020202013,DETERMINACAO DE TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA (,50,"5,77","288,50","0,00","0,00","288,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020202014,DETERMINACAO DE TEMPO E ATIVIDADE DA PROTROMBINA (TAP),100,"2,73","273,00","0,00","0,00","273,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020202015,DETERMINACAO DE VELOCIDADE DE HEMOSSEDIMENTACAO (VHS),200,"2,73","546,00","0,00","0,00","546,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020202036,"ERITROGRAMA (ERITROCITOS, HEMOGLOBINA, HEMATOCRITO)",50,"2,73","136,50","0,00","0,00","136,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020202037,HEMATOCRITO,50,"1,53","76,50","0,00","0,00","76,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020202038,HEMOGRAMA COMPLETO,3000,"4,11","12.330,00","0,00","0,00","12.330,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020202039,LEUCOGRAMA,50,"2,73","136,50","0,00","0,00","136,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020202050,PROVA DO LACO,50,"2,73","136,50","0,00","0,00","136,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020203004,DETECCAO DE ACIDOS NUCLEICOS DO HIV-1 (QUALITATIVO),50,"65,00","3.250,00","0,00","0,00","3.250,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020203007,DETERMINACAO DE FATOR REUMATOIDE,50,"2,83","141,50","0,00","0,00","141,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020203008,DETERMINACAO QUANTITATIVA DE PROTEiNA C REATIVA,700,"9,25","6.475,00","0,00","0,00","6.475,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020203020,DOSAGEM DE PROTEINA C REATIVA,400,"2,83","1.132,00","0,00","0,00","1.132,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020203029,PESQUISA DE ANTICORPOS ANTI-HIV-1 (WESTERN BLOT/IMUNOBLOT,50,"85,00","4.250,00","0,00","0,00","4.250,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020203030,PESQUISA DE ANTICORPOS ANTI-HIV-1 + HIV-2 (ELISA),50,"10,00","500,00","0,00","0,00","500,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020203031,PESQUISA DE ANTICORPOS ANTI-HTLV-1 + HTLV-2,50,"18,55","927,50","0,00","0,00","927,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020203047,PESQUISA DE ANTICORPOS ANTIESTREPTOLISINA O (ASLO),50,"2,83","141,50","0,00","0,00","141,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020203067,PESQUISA DE ANTICORPOS CONTRA O VIRUS DA HEPATITE C (ANTI,100,"18,55","1.855,00","0,00","0,00","1.855,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020203089,PESQUISA DE ANTICORPOS IGM CONTRA ANTIGENO CENTRAL DO VIR,100,"18,55","1.855,00","0,00","0,00","1.855,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020203097,PESQUISA DE ANTIGENO DE SUPERFICIE DO VIRUS DA HEPATITE B,50,"18,55","927,50","0,00","0,00","927,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020203098,PESQUISA DE ANTIGENO E DO VIRUS DA HEPATITE B (HBEAG),150,"18,55","2.782,50","0,00","0,00","2.782,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020203111,TESTE NAO TREPONEMICO P/ DETECCAO DE SIFILIS,50,"2,83","141,50","0,00","0,00","141,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020203120,DOSAGEM DE TROPONINA,300,"9,00","2.700,00","0,00","0,00","2.700,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020204012,PESQUISA DE OVOS E CISTOS DE PARASITAS,20,"1,65","33,00","0,00","0,00","33,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020204017,PESQUISA DE TROFOZOITAS NAS FEZES,20,"1,65","33,00","0,00","0,00","33,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020205001,"ANALISE DE CARACTERES FISICOS, ELEMENTOS E SEDIMENTO DA U",500,"3,70","1.850,00","0,00","0,00","1.850,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020205009,DOSAGEM DE MICROALBUMINA NA URINA,100,"8,12","812,00","0,00","0,00","812,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020205021,PESQUISA DE ERROS INATOS DO METABOLISMO NA URINA,50,"3,70","185,00","0,00","0,00","185,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020401003,RADIOGRAFIA BILATERAL DE ORBITAS (PA + OBLIQUAS + HIRTZ),50,"8,38","419,00","0,00","0,00","419,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020401004,RADIOGRAFIA DE ARCADA ZIGOMATICO-MALAR (AP+ OBLIQUAS),50,"6,96","348,00","0,00","0,00","348,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020401005,RADIOGRAFIA DE ARTICULACAO TEMPORO-MANDIBULAR BILATERAL,50,"8,38","419,00","0,00","0,00","419,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020401006,RADIOGRAFIA DE CAVUM (LATERAL + HIRTZ),50,"6,88","344,00","0,00","0,00","344,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020401007,RADIOGRAFIA DE CRANIO (PA + LATERAL + OBLiQUA / BRETTON +,50,"9,15","457,50","0,00","0,00","457,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020401008,RADIOGRAFIA DE CRANIO (PA + LATERAL),50,"7,52","376,00","0,00","0,00","376,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020401009,RADIOGRAFIA DE LARINGE,50,"5,74","287,00","0,00","0,00","287,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020401010,RADIOGRAFIA DE MASTOIDE / ROCHEDOS (BILATERAL),50,"9,03","451,50","0,00","0,00","451,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020401011,RADIOGRAFIA DE MAXILAR (PA + OBLIQUA),50,"7,20","360,00","0,00","0,00","360,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020401012,RADIOGRAFIA DE OSSOS DA FACE (MN + LATERAL + HIRTZ),50,"8,38","419,00","0,00","0,00","419,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020401013,RADIOGRAFIA DE REGIAO ORBITARIA (LOCALIZACAO DE CORPO EST,50,"7,98","399,00","0,00","0,00","399,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020401014,RADIOGRAFIA DE SEIOS DA FACE (FN + MN + LATERAL + HIRTZ),50,"7,32","366,00","0,00","0,00","366,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020401015,RADIOGRAFIA DE SELA TURSICA (PA + LATERAL + BRETTON),50,"7,20","360,00","0,00","0,00","360,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020401016,RADIOGRAFIA OCLUSAL,60,"3,51","210,60","0,00","0,00","210,60",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020401017,RADIOGRAFIA PANORAMICA,50,"9,03","451,50","0,00","0,00","451,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020401020,TELERADIOGRAFIA COM TRACADOS E SEM TRACADOS,50,"6,44","322,00","0,00","0,00","322,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020402003,RADIOGRAFIA DE COLUNA CERVICAL (AP + LATERAL + TO + OBLIQ,200,"8,33","1.666,00","0,00","0,00","1.666,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020402004,RADIOGRAFIA DE COLUNA CERVICAL (AP + LATERAL + TO / FLEXA,200,"8,19","1.638,00","0,00","0,00","1.638,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020402005,RADIOGRAFIA DE COLUNA CERVICAL FUNCIONAL / DINAMICA,200,"10,29","2.058,00","0,00","0,00","2.058,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020402006,RADIOGRAFIA DE COLUNA LOMBO-SACRA,70,"10,96","767,20","0,00","0,00","767,20",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020402007,RADIOGRAFIA DE COLUNA LOMBO-SACRA (C/ OBLIQUAS),140,"14,90","2.086,00","0,00","0,00","2.086,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020402008,RADIOGRAFIA DE COLUNA LOMBO-SACRA FUNCIONAL / DINAMICA,100,"16,88","1.688,00","0,00","0,00","1.688,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020402009,RADIOGRAFIA DE COLUNA TORACICA (AP + LATERAL),90,"9,16","824,40","0,00","0,00","824,40",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020402010,RADIOGRAFIA DE COLUNA TORACO-LOMBAR,120,"9,73","1.167,60","0,00","0,00","1.167,60",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020402011,RADIOGRAFIA DE COLUNA TORACO-LOMBAR DINAMICA,50,"15,58","779,00","0,00","0,00","779,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020402012,RADIOGRAFIA DE REGIAO SACRO-COCCIGEA,50,"7,80","390,00","0,00","0,00","390,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020402013,RADIOGRAFIA PANORAMICA DE COLUNA TOTAL- TELESPONDILOGRAFI,50,"0,00","0,00","0,00","0,00","0,00",Proced.,202506,0050571,UPA MARAMBAIA
MAC,020403006,RADIOGRAFIA DE CORACAO E VASOS DA BASE (PA + LATERAL),40,"9,05","362,00","0,00","0,00","362,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020403007,RADIOGRAFIA DE COSTELAS (POR HEMITORAX),50,"8,37","418,50","0,00","0,00","418,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020403008,RADIOGRAFIA DE ESOFAGO,40,"19,24","769,60","0,00","0,00","769,60",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020403009,RADIOGRAFIA DE ESTERNO,110,"7,98","877,80","0,00","0,00","877,80",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020403010,RADIOGRAFIA DE MEDIASTINO (PA E PERFIL),40,"8,73","349,20","0,00","0,00","349,20",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020403011,RADIOGRAFIA DE PNEUMOMEDIASTINO,20,"27,27","545,40","0,00","0,00","545,40",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020403012,RADIOGRAFIA DE TORAX (APICO-LORDORTICA),150,"5,56","834,00","0,00","0,00","834,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020403013,RADIOGRAFIA DE TORAX (PA + INSPIRACAO + EXPIRACAO + LATER,100,"14,32","1.432,00","0,00","0,00","1.432,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020403014,RADIOGRAFIA DE TORAX (PA + LATERAL + OBLIQUA),150,"12,02","1.803,00","0,00","0,00","1.803,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020403015,RADIOGRAFIA DE TORAX (PA E PERFIL),800,"9,50","7.600,00","0,00","0,00","7.600,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020403017,RADIOGRAFIA DE TORAX (PA),500,"6,88","3.440,00","0,00","0,00","3.440,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020404001,RADIOGRAFIA DE ANTEBRACO,50,"6,42","321,00","0,00","0,00","321,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020404002,RADIOGRAFIA DE ARTICULACAO ACROMIO-CLAVICULAR,50,"7,40","370,00","0,00","0,00","370,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020404003,RADIOGRAFIA DE ARTICULACAO ESCAPULO-UMERAL,50,"7,40","370,00","0,00","0,00","370,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020404004,RADIOGRAFIA DE ARTICULACAO ESTERNO-CLAVICULAR,50,"7,40","370,00","0,00","0,00","370,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020404005,RADIOGRAFIA DE BRACO,50,"7,77","388,50","0,00","0,00","388,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020404006,RADIOGRAFIA DE CLAVICULA,50,"7,40","370,00","0,00","0,00","370,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020404007,RADIOGRAFIA DE COTOVELO,50,"5,90","295,00","0,00","0,00","295,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020404008,RADIOGRAFIA DE DEDOS DA MAO,50,"5,62","281,00","0,00","0,00","281,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020404009,RADIOGRAFIA DE MAO,50,"6,30","315,00","0,00","0,00","315,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020404010,RADIOGRAFIA DE MAO E PUNHO (P/ DETERMINACAO DE IDADE OSSE,50,"6,00","300,00","0,00","0,00","300,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020404011,RADIOGRAFIA DE ESCAPULA/OMBRO (TRES POSICOES),50,"7,98","399,00","0,00","0,00","399,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020404012,RADIOGRAFIA DE PUNHO (AP + LATERAL + OBLIQUA),50,"6,91","345,50","0,00","0,00","345,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020405011,RADIOGRAFIA DE ABDOMEN (AP + LATERAL / LOCALIZADA),50,"10,73","536,50","0,00","0,00","536,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020405012,RADIOGRAFIA DE ABDOMEN AGUDO (MINIMO DE 3 INCIDENCIAS),150,"15,30","2.295,00","0,00","0,00","2.295,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020405013,RADIOGRAFIA DE ABDOMEN SIMPLES (AP),50,"7,17","358,50","0,00","0,00","358,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020405014,RADIOGRAFIA DE ESTOMAGO E DUODENO,20,"35,22","704,40","0,00","0,00","704,40",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020405015,RADIOGRAFIA DE INTESTINO DELGADO (TRANSITO),30,"47,59","1.427,70","0,00","0,00","1.427,70",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020406006,RADIOGRAFIA DE ARTICULACAO COXO-FEMORAL,40,"7,77","310,80","0,00","0,00","310,80",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020406007,RADIOGRAFIA DE ARTICULACAO SACRO-ILIACA,40,"7,77","310,80","0,00","0,00","310,80",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020406008,RADIOGRAFIA DE ARTICULACAO TIBIO-TARSICA,50,"6,50","325,00","0,00","0,00","325,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020406009,RADIOGRAFIA DE BACIA,50,"7,77","388,50","0,00","0,00","388,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020406010,RADIOGRAFIA DE CALCANEO,50,"6,50","325,00","0,00","0,00","325,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020406011,RADIOGRAFIA DE COXA,50,"8,94","447,00","0,00","0,00","447,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020406012,RADIOGRAFIA DE JOELHO (AP + LATERAL),50,"6,78","339,00","0,00","0,00","339,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020406013,RADIOGRAFIA DE JOELHO OU PATELA (AP + LATERAL + AXIAL),60,"7,16","429,60","0,00","0,00","429,60",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020406014,RADIOGRAFIA DE JOELHO OU PATELA (AP + LATERAL + OBLIQUA +,50,"9,29","464,50","0,00","0,00","464,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020406015,RADIOGRAFIA DE PE / DEDOS DO PE,120,"6,78","813,60","0,00","0,00","813,60",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020406016,RADIOGRAFIA DE PERNA,100,"8,94","894,00","0,00","0,00","894,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,020406017,RADIOGRAFIA PANORAMICA DE MEMBROS INFERIORES,50,"9,29","464,50","0,00","0,00","464,50",Sub-Grupo,202506,0050571,UPA MARAMBAIA
MAC,021102003,ELETROCARDIOGRAMA,600,"5,15","3.090,00","0,00","0,00","3.090,00",Proced.,202506,0050571,UPA MARAMBAIA
MAC,021401005,TESTE RAPIDO PARA DETECCAO DE INFECCAO PELO HIV,40,"1,00","40,00","0,00","0,00","40,00",Proced.,202506,0050571,UPA MARAMBAIA
MAC,021401007,TESTE RAPIDO PARA SiFILIS,50,"1,00","50,00","0,00","0,00","50,00",Proced.,202506,0050571,UPA MARAMBAIA
MAC,030101004,CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO ES,16500,"6,30","103.950,00","0,00","0,00","103.950,00",Proced.,202506,0050571,UPA MARAMBAIA
MAC,030101007,CONSULTA MEDICA EM ATENCAO ESPECIALIZADA,500,"10,00","5.000,00","0,00","0,00","5.000,00",Proced.,202506,0050571,UPA MARAMBAIA
MAC,030103015,REMOCAO EM AMBULANCIA DE SIMPLES TRANSPORTE (AMBULANCIA T,200,"0,00","0,00","0,00","0,00","0,00",Proced.,202506,0050571,UPA MARAMBAIA
MAC,030103018,SAMU 192: TRANSPORTE INTER-HOSPITALAR PELA UNIDADE DE SUP,50,"0,00","0,00","0,00","0,00","0,00",Proced.,202506,0050571,UPA MARAMBAIA
MAC,030106002,ATENDIMENTO DE URGENCIA C/ OBSERVACAO ATE 24 HORAS EM ATE,600,"12,47","7.482,00","0,00","0,00","7.482,00",Proced.,202506,0050571,UPA MARAMBAIA
MAC,030106006,ATENDIMENTO DE URGENCIA EM ATENCAO ESPECIALIZADA,400,"11,00","4.400,00","0,00","0,00","4.400,00",Proced.,202506,0050571,UPA MARAMBAIA
MAC,030106009,ATENDIMENTO MEDICO EM UNIDADE DE PRONTO ATENDIMENTO,16000,"11,00","176.000,00","0,00","0,00","176.000,00",Proced.,202506,0050571,UPA MARAMBAIA
MAC,030106010,ATENDIMENTO ORTOPEDICO COM IMOBILIZACAO PROVISORIA,30,"13,00","390,00","0,00","0,00","390,00",Proced.,202506,0050571,UPA MARAMBAIA
MAC,030106011,ACOLHIMENTO COM CLASSIFICACAO DE RISCO,16000,"0,00","0,00","0,00","0,00","0,00",Proced.,202506,0050571,UPA MARAMBAIA
MAC,030110001,ADMINISTRACAO DE MEDICAMENTOS NA ATENCAO ESPECIALIZADA.,30000,"0,63","18.900,00","0,00","0,00","18.900,00",Proced.,202506,0050571,UPA MARAMBAIA
MAC,030110007,CUIDADOS C/ TRAQUEOSTOMIA,20,"0,00","0,00","0,00","0,00","0,00",Proced.,202506,0050571,UPA MARAMBAIA
MAC,030110009,ENEMA,20,"0,00","0,00","0,00","0,00","0,00",Proced.,202506,0050571,UPA MARAMBAIA
MAC,030309014,TRATAMENTO CONSERVADOR DE FRATURA DE COSTELAS,5,"15,04","75,20","0,00","0,00","75,20",Proced.,202506,0050571,UPA MARAMBAIA
MAC,030309016,TRATAMENTO CONSERVADOR DE FRATURA DE OSSO METACARPICO,5,"17,85","89,25","0,00","0,00","89,25",Proced.,202506,0050571,UPA MARAMBAIA
MAC,030309018,TRATAMENTO CONSERVADOR DE FRATURA DO ESTERNO,5,"15,98","79,90","0,00","0,00","79,90",Proced.,202506,0050571,UPA MARAMBAIA
MAC,030309020,TRATAMENTO CONSERVADOR DE FRATURA EM MEMBRO INFERIOR COM,5,"41,93","209,65","0,00","0,00","209,65",Proced.,202506,0050571,UPA MARAMBAIA
MAC,030309022,TRATAMENTO CONSERVADOR DE FRATURA EM MEMBRO SUPERIOR COM,5,"41,63","208,15","0,00","0,00","208,15",Proced.,202506,0050571,UPA MARAMBAIA
MAC,030314001,LAVAGEM NASAL PELO METODO DE PROETZ (POR SESSAO),20,"1,44","28,80","0,00","0,00","28,80",Proced.,202506,0050571,UPA MARAMBAIA
MAC,030502001,TRATAMENTO DA PIELONEFRITE,20,"0,00","0,00","0,00","0,00","0,00",Proced.,202506,0050571,UPA MARAMBAIA
MAC,030601001,COLETA DE SANGUE P/ TRANSFUSAO,20,"22,00","440,00","0,00","0,00","440,00",Proced.,202506,0050571,UPA MARAMBAIA
MAC,030701005,TRATAMENTO DE NEVRALGIAS FACIAIS,30,"10,82","324,60","0,00","0,00","324,60",Proced.,202506,0050571,UPA MARAMBAIA
MAC,040101001,CURATIVO GRAU II C/ OU S/ DEBRIDAMENTO,350,"32,40","11.340,00","0,00","0,00","11.340,00",Sub-Grupo,202506,0050571,UPA MARAMBAIA
